pad_height,fQ,EC_MHz,EJ,alpha_MHz
50um,5.84553301011883,355.6382845487289,13.616300010297985,-419.34343442624026
70um,5.544659336329865,317.528566554749,13.616300010297985,-369.97436080632815
90um,5.33491519935218,292.42300126268043,13.616300010297985,-338.02808272294493
110um,5.161268904236456,272.52745185174103,13.616300010297985,-313.03016558403584
130um,5.020456059017324,256.9759259301656,13.616300010297985,-293.6844541428407
150um,4.899921466528853,244.07276882581823,13.616300010297985,-277.76174721962946
