pad_gap,fQ,EC_MHz,EJ,alpha_MHz
10um,4.812806109748001,234.97950220116923,13.616300010297985,-266.6102900976843
20um,5.125676323956125,268.5476412860649,13.616300010297985,-308.06321882729344
30um,5.33491519935218,292.42300126268043,13.616300010297985,-338.02808272294493
40um,5.481091334413065,309.79438072654966,13.616300010297985,-360.08456585649867
50um,5.59902834458361,324.23073768485835,13.616300010297985,-378.57950396544885
60um,5.696156746257692,336.4054305676828,13.616300010297985,-394.2947462552633
