pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,5.191059349625508,248.34595860061907,-60.70674953911249,-1.607484232375515,-280.94095985354966
125um,5.183543783040821,247.58708689894877,-71.44845182622514,-2.192063004156229,-280.01761184059524
150um,5.1718903065912505,246.41296599555784,-82.10192019012212,-2.825446346496896,-278.5897337681428
162um,5.167325733619839,245.95392320675487,-87.05690015442447,-3.1470273230445716,-278.0317178839931
175um,5.162412332507149,245.4603350173752,-92.36882045709963,-3.5071921447545185,-277.4318573995441
200um,5.1535316031937235,244.56960546785643,-102.29555408313031,-4.224063573854801,-276.34973966857814
225um,5.144787615487082,243.6943595847279,-111.89247601014354,-4.964678782137768,-275.28692250191745
250um,5.136260715117248,242.8425323975745,-121.20266290630609,-5.72556391521111,-274.2530091926126
