qubit,fQ_GHz,EC_MHz,alpha_MHz,chi_readout_MHz,bus_a_pad,g_bus_a_MHz,bus_b_pad,g_bus_b_MHz
Q2,4.924307691824795,241.44615511748148,-274.1201557758119,-0.9592759787104738,bus_12,83.75580663861682,bus_23,76.76770122150063
Q3,5.135312431964255,242.76424570573835,-274.1592487494961,-0.965918348060183,bus_23,83.23614916920992,bus_34,76.7963834021665
Q4,5.3370291414519695,243.08316583628167,-273.11314209120576,-0.9471235031275836,bus_14,77.06544773826359,bus_34,83.3349269703003
