pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,5.398929367838559,249.04371407122946,55.19277692030384,-3.2369575728848274,-280.29241795382154
125um,5.390141156622002,248.19010723625684,65.16247061905946,-4.392426362198417,-279.26281360848486
150um,5.379146849812423,247.1245181227592,74.85345931425776,-5.606755622644799,-277.97812420942364
162um,5.374985042198711,246.7218138284203,79.39507595149284,-6.2296525989550755,-277.49279281792445
175um,5.370629228455683,246.30072869852546,84.24851312088036,-6.924133539845479,-276.9854116626416
200um,5.365218250080512,245.77819628324542,93.22230158216601,-8.342928685894854,-276.35593854714546
225um,5.356787649523725,244.96529280115575,102.08916860771426,-9.760574765111192,-275.3769881663579
250um,5.347365558507926,244.05855982204167,110.65500385490246,-11.157030769523018,-274.2855030023191
