pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,5.197685586642935,249.01611023937966,57.79745616986728,-1.0693349778947274,-281.7566623578509
125um,5.189338945036177,248.17212891673478,68.20043585928421,-1.4662924809107725,-280.7294224408526
150um,5.181128606829785,247.34349446632044,78.32195991418287,-1.9050229107097392,-279.72130108329094
162um,5.177163741022244,246.94389268727485,83.0357322605342,-2.125826257550217,-279.23529887564183
175um,5.172953662023145,246.5199726207977,88.07826715695866,-2.3736296817231533,-278.71983103083073
200um,5.165434204449438,245.7638391836158,97.5965484942057,-2.874937225549019,-277.80068942108244
225um,5.155511834446347,244.76806410701562,106.96529635741285,-3.3921363970966363,-276.59079692355897
250um,5.148316767716236,244.0474055790736,115.87273115376134,-3.929511560588569,-275.7155702668147
