pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,4.996580812982211,249.0057927077761,55.0136819011206,-0.9727579807680639,-283.3961794158236
125um,4.986516847764584,247.94481069426578,64.99821678194503,-1.332893290449304,-282.0919116423246
150um,4.978555394584762,247.10728935286065,74.60763922277944,-1.7306277442665576,-281.06288859763106
162um,4.974842708971741,246.71727083558065,79.11957263908354,-1.9330805028317375,-280.58385497896114
175um,4.973452954291034,246.57136591060365,83.77435013710694,-2.1617203098357187,-280.4046764795441
200um,4.96545985212863,245.73314369101402,92.88820071496305,-2.6191462211566843,-279.3755800765874
225um,4.955738464672179,244.7158420814098,101.66978783004006,-3.082812802447276,-278.1272711126494
250um,4.949368249678276,244.05051283940452,110.25823104219302,-3.584064826502348,-277.3112426990224
