pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,4.990240050803636,248.33702795902732,-55.721949667854666,-1.9993002553254857,-282.57397553712934
125um,4.981235090601153,247.38900743897815,-65.67564097939717,-2.71642793307286,-281.40896878379664
150um,4.972038098730284,246.42287561388224,-75.43660971474917,-3.504179284302523,-280.2223379672217
162um,4.967765578657423,245.97477632833318,-79.98849346993116,-3.8991002122334364,-279.6721863287488
175um,4.963218603502396,245.49839612186187,-84.82879899228764,-4.337211918065975,-279.0874635529777
200um,4.954587710345306,244.59557760754075,-93.94306475067408,-5.209764631347566,-277.97974394180517
225um,4.946227463688364,243.72285202606312,-102.73380286933671,-6.106922522292008,-276.9094769262863
250um,4.938029558104764,242.86877531260805,-111.41988817497135,-7.044535320027561,-275.862584191576
