pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
100um,5.391714577156429,248.3428150188406,-63.79611207877697,-1.7686539927487457,-279.4469752276759
125um,5.381616770423782,247.36368517937373,-75.25305046642531,-2.409994668722684,-278.2664090415848
150um,5.371725844947439,246.40670306992362,-86.32287870420222,-3.107259898977213,-277.113094265384
162um,5.367057788103155,245.95576920861265,-91.53969146073986,-3.4609180787636307,-276.569835185543
175um,5.362089115764069,245.47630097153484,-97.06084541093789,-3.851709562522079,-275.9923313205709
200um,5.3526773729573485,244.56951113143847,-107.48470202598479,-4.633927532213734,-274.9005038963465
225um,5.343579497532747,243.6947358381279,-117.53830852260369,-5.440384213695672,-273.84768433528217
250um,5.33443643791653,242.81737227614548,-127.43128208938572,-6.2783256713494175,-272.79220401273597
