pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
50um,5.396413049074634,248.79913497313575,41.03351501705705,-0.21196712743571064,-279.99736730742933
60um,5.393160714052954,248.48321547231117,45.97966705250565,-0.26504631109882076,-279.616306680245
70um,5.390141156622002,248.19010723625684,50.8656683906614,-0.3231238150837466,-279.26281360848486
80um,5.386832982897719,247.86920419884294,55.84992738192227,-0.3879143669066065,-278.87585776379797
90um,5.381058510841299,247.309616586753,60.76305013257711,-0.45580738827654177,-278.2012334177889
100um,5.377825375056452,246.99661013209933,65.57656840116141,-0.5287087735677154,-277.823961602431
110um,5.3744714402313,246.67214208602078,70.3648292204377,-0.6061530720530482,-277.4329360361654
125um,5.3695900548444655,246.20032888525526,77.44252703188306,-0.7296980417149558,-276.8644516542862
135um,5.366305023267443,245.88309524099313,82.08875185659808,-0.8164792984442323,-276.4822930264568
145um,5.36567029302038,245.8218259430659,86.59909032208463,-0.9079369778813585,-276.40849121525827
155um,5.362464596589142,245.51251603037588,91.14864198647106,-1.0017712640697283,-276.0359464363146
165um,5.35688725767501,244.97488856568555,95.72961374814017,-1.0972374920202208,-275.38854172249523
175um,5.353790371496582,244.67664745438273,100.1619827752768,-1.1965106544219026,-275.02947691394104
185um,5.350906223732012,244.39907559182967,104.56273023431096,-1.2992271847264114,-274.69534389439
195um,5.347929365729526,244.11276507351707,108.9193778491379,-1.4044702750637519,-274.35073923797114
205um,5.344875932834568,243.81928363603615,113.17673871438332,-1.5105912343944794,-273.997553912721
215um,5.34192861620213,243.53618785078075,117.3467181154328,-1.6179463834733891,-273.656915263428
225um,5.339018062478282,243.256802739646,121.52613118312425,-1.7289103147481035,-273.32078797344053
