,bus_12_connector_pad_Q1,bus_14_connector_pad_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1,readout_connector_pad_Q1
bus_12_connector_pad_Q1,44.98009,-0.43451,-27.61113,-13.77781,-1.69463,-0.45462
bus_14_connector_pad_Q1,-0.43451,42.87114,-27.07466,-1.5556,-12.69795,-0.1447
ground_main_plane,-27.61113,-27.07466,198.11895,-29.08177,-32.78283,-25.18932
pad_bot_Q1,-13.77781,-1.5556,-29.08177,82.09923,-26.12209,-9.21201
pad_top_Q1,-1.69463,-12.69795,-32.78283,-26.12209,77.26632,-1.37278
readout_connector_pad_Q1,-0.45462,-0.1447,-25.18932,-9.21201,-1.37278,37.20105
