,a_connector_pad_Q1,b_connector_pad_Q1,c_connector_pad_Q1,cl_metal_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1
a_connector_pad_Q1,33.07683,-0.16873,-0.06718,-0.04306,-22.4255,-8.72996,-1.05363
b_connector_pad_Q1,-0.16873,40.76591,-0.23222,-0.0077,-24.90773,-13.28483,-1.39186
c_connector_pad_Q1,-0.06718,-0.23222,38.68963,-0.00813,-24.27568,-1.26599,-12.11168
cl_metal_Q1,-0.04306,-0.0077,-0.00813,15.70864,-15.16324,-0.15999,-0.25673
ground_main_plane,-22.4255,-24.90773,-24.27568,-15.16324,228.41645,-39.97112,-43.63758
pad_bot_Q1,-8.72996,-13.28483,-1.26599,-0.15999,-39.97112,92.98339,-26.56812
pad_top_Q1,-1.05363,-1.39186,-12.11168,-0.25673,-43.63758,-26.56812,88.22342
