,bus_12_connector_pad_Q1,bus_14_connector_pad_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1,readout_connector_pad_Q1
bus_12_connector_pad_Q1,46.59138,-0.5365,-28.76644,-13.69513,-1.73005,-0.75822
bus_14_connector_pad_Q1,-0.5365,44.44871,-28.31859,-1.59579,-12.73703,-0.19634
ground_main_plane,-28.76644,-28.31859,193.82113,-24.9885,-28.6083,-26.34636
pad_bot_Q1,-13.69513,-1.59579,-24.9885,73.61269,-22.0959,-9.16656
pad_top_Q1,-1.73005,-12.73703,-28.6083,-22.0959,68.9193,-1.42989
readout_connector_pad_Q1,-0.75822,-0.19634,-26.34636,-9.16656,-1.42989,38.82276
