,bus_12_connector_pad_Q1,bus_14_connector_pad_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1,readout_connector_pad_Q1
bus_12_connector_pad_Q1,48.47033,-0.65208,-30.06041,-13.41863,-1.72092,-1.41663
bus_14_connector_pad_Q1,-0.65208,46.28941,-29.84506,-1.60801,-12.74428,-0.26442
ground_main_plane,-30.06041,-29.84506,190.03805,-21.11004,-24.54594,-27.63935
pad_bot_Q1,-13.41863,-1.60801,-21.11004,65.02448,-18.16085,-8.94818
pad_top_Q1,-1.72092,-12.74428,-24.54594,-18.16085,60.63473,-1.44311
readout_connector_pad_Q1,-1.41663,-0.26442,-27.63935,-8.94818,-1.44311,40.72995
