,a_connector_pad_Q1,b_connector_pad_Q1,c_connector_pad_Q1,cl_metal_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1
a_connector_pad_Q1,33.49216,-0.18042,-0.07818,-0.05228,-22.67971,-8.66835,-1.24429
b_connector_pad_Q1,-0.18042,41.24908,-0.31782,-0.00825,-25.11874,-13.21049,-1.63564
c_connector_pad_Q1,-0.07818,-0.31782,39.11424,-0.0087,-24.47025,-1.47802,-12.02508
cl_metal_Q1,-0.05228,-0.00825,-0.0087,15.99586,-15.46564,-0.15469,-0.24535
ground_main_plane,-22.67971,-25.11874,-24.47025,-15.46564,221.60111,-36.20731,-39.77764
pad_bot_Q1,-8.66835,-13.21049,-1.47802,-0.15469,-36.20731,113.06802,-50.53746
pad_top_Q1,-1.24429,-1.63564,-12.02508,-0.24535,-39.77764,-50.53746,108.43602
