,a_connector_pad_Q1,b_connector_pad_Q1,c_connector_pad_Q1,cl_metal_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1
a_connector_pad_Q1,33.05062,-0.17431,-0.07205,-0.04727,-22.35596,-8.66498,-1.14487
b_connector_pad_Q1,-0.17431,40.6968,-0.26832,-0.00792,-24.7867,-13.17095,-1.51302
c_connector_pad_Q1,-0.07205,-0.26832,38.6187,-0.00837,-24.1687,-1.37096,-11.99787
cl_metal_Q1,-0.04727,-0.00792,-0.00837,15.63789,-15.09471,-0.15831,-0.25056
ground_main_plane,-22.35596,-24.7867,-24.1687,-15.09471,224.54147,-38.19529,-41.7183
pad_bot_Q1,-8.66498,-13.17095,-1.37096,-0.15831,-38.19529,98.21867,-33.76139
pad_top_Q1,-1.14487,-1.51302,-11.99787,-0.25056,-41.7183,-33.76139,93.47213
