,bus_12_connector_pad_Q1,bus_14_connector_pad_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1,readout_connector_pad_Q1
bus_12_connector_pad_Q1,41.72229,-0.26794,-25.43433,-13.49325,-1.52436,-0.17743
bus_14_connector_pad_Q1,-0.26794,39.5918,-24.79187,-1.3877,-12.29644,-0.07431
ground_main_plane,-25.43433,-24.79187,209.72416,-38.39668,-42.15744,-22.94845
pad_bot_Q1,-13.49325,-1.3877,-38.39668,99.55247,-34.4702,-8.87822
pad_top_Q1,-1.52436,-12.29644,-42.15744,-34.4702,94.75689,-1.16321
readout_connector_pad_Q1,-0.17743,-0.07431,-22.94845,-8.87822,-1.16321,33.88605
