,a_connector_pad_Q1,b_connector_pad_Q1,c_connector_pad_Q1,cl_metal_Q1,ground_main_plane,pad_bot_Q1,pad_top_Q1
a_connector_pad_Q1,32.98878,-0.17709,-0.07488,-0.04932,-22.2867,-8.61547,-1.19165
b_connector_pad_Q1,-0.17709,40.68784,-0.29033,-0.00803,-24.75495,-13.1063,-1.57318
c_connector_pad_Q1,-0.07488,-0.29033,38.65481,-0.0085,-24.15719,-1.42882,-11.95932
cl_metal_Q1,-0.04932,-0.00803,-0.0085,15.66505,-15.12673,-0.1561,-0.24579
ground_main_plane,-22.2867,-24.75495,-24.15719,-15.12673,222.61287,-37.25601,-40.6829
pad_bot_Q1,-8.61547,-13.1063,-1.42882,-0.1561,-37.25601,103.02164,-39.62345
pad_top_Q1,-1.19165,-1.57318,-11.95932,-0.24579,-40.6829,-39.62345,98.29004
