pad_height,fQ,EC_MHz,chi_readout_MHz,gbus_readout_MHz,alpha_MHz
15um,4.787828912941901,248.17493896558534,-0.19668903172945315,39.29975824317651,-284.1976850670679
20um,4.786903727355522,248.07310635261544,-0.21674095016052658,41.27957824998543,-284.07112498632193
25um,4.786258171890629,248.0020658667378,-0.23388920316402767,42.89974333160704,-283.98283868487687
30um,4.785805957312789,247.952308539829,-0.24881453342498486,44.26056406096144,-283.9210044844032
35um,4.785365309458365,247.90382934069873,-0.2622721350300043,45.454960925411584,-283.86076040322723
40um,4.785080594884803,247.8725084644448,-0.2751344502658229,46.56495582966693,-283.82183953804764
50um,4.784575107110337,247.8169062931198,-0.29528752216904247,48.25629031234184,-283.7527473347361
60um,4.784279558832985,247.78440012157657,-0.31320420481527617,49.708396949595155,-283.71235567787886
