length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
6.91,7.49946821197,0,,,True,7.49946821197,8.17043532805
7.01,7.42889349569,0,,,True,7.42889349569,8.05415775227
7.11,7.35492278823,0,,,True,7.35492278823,7.94780226048
7.21,7.2839067992,0,,,True,7.2839067992,7.84022294185
7.31,7.21307876174,0,,,True,7.21307876174,7.73769391555
7.41,7.14698668616,0,,,True,7.14698668616,7.63910736074
7.51,7.07959199286,0,,,True,7.07959199286,7.53986241007
7.61,7.01664836811,0,,,True,7.01664836811,7.44476062661
7.71,6.94802613239,0,,,True,6.94802613239,7.35938662408
7.81,6.88980929882,0,,,True,6.88980929882,7.26583960522
7.91,6.82692017935,0,,,True,6.82692017935,7.17562019272
8.01,6.76879180061,0,,,True,6.76879180061,7.09806577803
8.11,6.70860513154,0,,,True,6.70860513154,7.0079771377
