length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
9.11,6.1480689371,0,,,True,6.1480689371,6.20500744855
9.21,6.08558517166,0,,,True,6.08558517166,6.16178409617
9.31,6.02133528245,0,,,True,6.02133528245,6.12839671734
9.41,5.96277423353,0,,,True,5.96277423353,6.08797544553
9.51,5.90349083093,0,,,True,5.90349083093,6.05269666154
9.61,5.84273484297,0,,,True,5.84273484297,6.01718655104
9.71,5.78831966823,0,,,True,5.78831966823,5.97988552042
9.81,5.73359796372,0,,,True,5.73359796372,5.94517310854
9.91,5.67795657009,0,,,True,5.67795657009,5.91006300719
10.01,5.62167377749,0,,,True,5.62167377749,5.87694937397
10.11,5.56668736494,0,,,True,5.56668736494,5.84544010051
10.21,5.5134640475,0,,,True,5.5134640475,5.81039137063
10.31,5.46849477851,0,,,True,5.46849477851,5.77422406649
