length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
8.44,6.46279371166,0,,,True,6.46279371166,6.63168611341
8.54,6.42180881492,0,,,True,6.42180881492,6.56136827424
8.64,6.38167534461,0,,,True,6.38167534461,6.49085199698
8.74,6.34580567203,0,,,True,6.34580567203,6.41849680365
8.84,6.30010170899,0,,,True,6.30010170899,6.35405718794
8.94,6.26527629706,0,,,True,6.26527629706,6.28571320566
9.04,6.22217031412,0,,,True,6.22217031412,6.23004329476
9.14,6.15008098339,0,,,True,6.15008098339,6.19617089797
9.24,6.08631115733,0,,,True,6.08631115733,6.15455361756
9.34,6.02692161642,0,,,True,6.02692161642,6.1149031769
9.44,5.96452270724,0,,,True,5.96452270724,6.07917421424
9.54,5.90725051768,0,,,True,5.90725051768,6.04260301987
9.64,5.85110832215,0,,,True,5.85110832215,6.00231856371
