length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
7.48,7.30530732387,0,,,True,7.30530732387,7.57422339605
7.58,7.4757305468,1,,,True,7.23384784841,7.4757305468
7.68,7.38463961383,1,,,True,7.16211530455,7.38463961383
7.78,7.2919196787,1,,,False,7.0942201961,7.2919196787
7.88,7.20122002203,1,,,True,7.02698992698,7.20122002203
7.98,7.11524470852,1,,,True,6.95617390816,7.11524470852
8.08,7.02855645319,1,,,True,6.89546681065,7.02855645319
8.18,6.94492453656,1,,,True,6.83042758005,6.94492453656
8.28,6.86752304807,1,,,False,6.76254801738,6.86752304807
8.38,6.78592708369,1,,,False,6.70227679246,6.78592708369
8.48,6.71363266177,1,,,False,6.63730874094,6.71363266177
8.58,6.63611155735,1,,,True,6.58037490533,6.63611155735
8.68,6.56137220512,1,,,True,6.51974580033,6.56137220512
