length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
8.14,6.62448589968,0,,,True,6.62448589968,6.87480219304
8.24,6.5750646314,0,,,True,6.5750646314,6.80066430674
8.34,6.53287270097,0,,,True,6.53287270097,6.72302608972
8.44,6.48878827815,0,,,True,6.48878827815,6.64474263854
8.54,6.44746827771,0,,,True,6.44746827771,6.57244024849
8.64,6.40791402238,0,,,True,6.40791402238,6.49745486572
8.74,6.36105288001,0,,,True,6.36105288001,6.42775951495
8.84,6.32232307188,0,,,True,6.32232307188,6.3614238646
8.94,6.28609403788,0,,,True,6.28609403788,6.2957084119
9.04,6.2265106497,0,,,True,6.2265106497,6.25407197309
9.14,6.15997856231,0,,,True,6.15997856231,6.20936293458
9.24,6.09799393845,0,,,True,6.09799393845,6.16539293147
9.34,6.03179390581,0,,,True,6.03179390581,6.13092122832
