length_mm,freq_GHz,mode_idx,Q,kappa_MHz,converged,mode0_GHz,mode1_GHz
7.39,7.13583149043,0,,,True,7.13583149043,7.64952773932
7.49,7.06559034,0,,,True,7.06559034,7.55164182356
7.59,6.99991197373,0,,,True,6.99991197373,7.4578706593
7.69,6.93849736586,0,,,True,6.93849736586,7.36113806574
7.79,6.87478462706,0,,,True,6.87478462706,7.2753817646
7.89,6.81352406261,0,,,True,6.81352406261,7.18028606634
7.99,6.76019866926,0,,,True,6.76019866926,7.09198540578
8.09,6.69864681963,0,,,True,6.69864681963,7.00994835915
8.19,6.64248223358,0,,,True,6.64248223358,6.92258494585
8.29,6.58622034578,0,,,True,6.58622034578,6.8443365171
8.39,6.52789419736,0,,,True,6.52789419736,6.76942563845
8.49,6.472964668,0,,,True,6.472964668,6.69481095238
8.59,6.42027682012,0,,,True,6.42027682012,6.62531401498
