pad_width,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
100um,4.757318391082106,244.82919500619784,-58.62710962755372,-1.0344322332847975,-280.0435447733011
125um,4.747758331686251,243.7861347002931,-69.16715087255433,-1.4148857415117952,-278.7501610594607
150um,4.7385775852285725,242.78682901813048,-79.37884047667707,-1.8326565624425806,-277.5117901173781
162um,4.73412919241858,242.30346473274633,-84.17749082892071,-2.044381756036367,-276.91305585579084
175um,4.729434233347824,241.79389882382213,-89.29336535907552,-2.2809762280150903,-276.2820538332447
200um,4.720539752993051,240.83020056424908,-98.93561580755195,-2.7556477617621713,-275.089220468312
225um,4.7142236588387005,240.1471847176138,-108.11122645475025,-3.2533606060861624,-274.24422344183523
250um,4.703419952852426,238.981421811011,-117.41039040040124,-3.7636384494067476,-272.80279205467457
