pad_height,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
15um,4.756373432581004,244.72598215073657,49.583717090190014,-1.0091300686645244,-279.91552591635786
20um,4.755225608218501,244.60064442742387,52.00568794463998,-1.1074847455076138,-279.7600753738658
25um,4.754160754039609,244.48439917695606,53.98900912570779,-1.1909380126409683,-279.6159122278979
30um,4.75348549228208,244.41070013620148,55.60839138613717,-1.2616885676713963,-279.52451854590623
35um,4.753013914549929,244.3592389147367,56.960258541673944,-1.3224878459711704,-279.4607042242213
40um,4.752470255860241,244.2999194168893,58.10197124419706,-1.3744887387762235,-279.3871477117363
50um,4.751662347477227,244.21178224140954,59.982285465858105,-1.4624467904187255,-279.27786194060866
60um,4.751415302131457,244.18483490571126,61.494819782075595,-1.5363472130473315,-279.24444971831645
