pad_height,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
15um,4.7575546286518575,244.85500184143785,-55.86597620382647,-0.9396966939134642,-280.07555521547886
20um,4.755568625500342,244.6380967065914,-58.746994946413125,-1.0353466547550523,-279.80652446993463
25um,4.754365409294619,244.5067380274573,-60.984726226058505,-1.1132714411873355,-279.6436152817935
30um,4.75348549228208,244.41070013620148,-62.87719043721984,-1.1815353283270382,-279.52451854590623
35um,4.75267017709713,244.3217322066016,-64.50530356602479,-1.2416648624879802,-279.41419539053175
40um,4.752118644662839,244.2615588749003,-65.97209851403807,-1.2974680514748802,-279.33958181389806
50um,4.75131844749529,244.174270606127,-68.31694047750935,-1.3893075335525193,-279.2313511038232
60um,4.752904499995522,244.3472998573576,-70.17071511256424,-1.4699793941584343,-279.44589951562574
