pad_gap,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
5um,4.7227526371965505,241.069758762249,-84.71418362056687,-2.02843237921007,-275.3856732338828
8um,4.738376741117723,242.76499347457303,-75.58736240514772,-1.6611609539039076,-277.4847391007673
10um,4.742370231325605,243.19936960220056,-71.19429036616235,-1.484407428590601,-278.022933520752
12um,4.747513148892551,243.75941688918147,-67.46210898865098,-1.345387510092647,-278.7170418665697
15um,4.75348549228208,244.41070013620148,-62.87719043721984,-1.1815353283270382,-279.52451854590623
18um,4.7584595672314265,244.95387249714332,-58.973284052896396,-1.0488738885936029,-280.1981975887194
22um,4.76368158790156,245.52485463443196,-54.677626424529784,-0.910314382731344,-280.906604399541
26um,4.7678615955654085,245.98244376801208,-51.06568275020361,-0.8001427440615347,-281.4745014284516
30um,4.7712242902691875,246.35091084916763,-47.93011482695982,-0.7092766583078861,-281.9319054111498
