pad_width,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
100um,4.760077400726165,245.13068800079884,47.070243675024166,-0.9164314267285317,-280.41754338270357
125um,4.75348549228208,244.41070013620148,55.60839138613717,-1.2616885676713963,-279.52451854590623
150um,4.746951637317404,243.6982346557703,63.86188507620834,-1.6417042664613717,-278.6412028372545
162um,4.7439853600136,243.37517351621716,67.74091496024845,-1.8359496540093532,-278.24079534601293
175um,4.740675749607727,243.01500543684375,71.8885284945895,-2.0536362283010665,-277.7944881990796
200um,4.734298643036426,242.32186733691745,79.68156985120518,-2.4902555298535884,-276.93584764154605
225um,4.728225573518079,241.66281540918428,87.15294772756029,-2.942432889163856,-276.1197627039775
250um,4.72274195119977,241.06860161471195,94.49617703510255,-3.4207734053705936,-275.3842411639575
